Entity,Year,Total number of international immigrants
Lebanon,2015,1763717
Lebanon,2020,1586346
Lebanon,2024,1422583
Lesotho,1990,8240
Lesotho,1995,7204
Lesotho,2000,6167
Lesotho,2005,6290
Lesotho,2010,6414
Lesotho,2015,9152
Lesotho,2020,12060
Lesotho,2024,15039
Liberia,1990,94964
Liberia,1995,208563
Liberia,2000,151868
Liberia,2005,87217
Liberia,2010,99165
Liberia,2015,112111
Liberia,2020,87947
Liberia,2024,72423
Libya,1990,457075
Libya,1995,508041
Libya,2000,567436
Libya,2005,625412
Libya,2010,687192
Libya,2015,771146
Libya,2020,826537
Libya,2024,897751
Liechtenstein,1990,10906
Liechtenstein,1995,13311
Liechtenstein,2000,15483
Liechtenstein,2005,18898
Liechtenstein,2010,22342
Liechtenstein,2015,23799
Liechtenstein,2020,25877
Liechtenstein,2024,27669
Lithuania,1990,349258
Lithuania,1995,273587
Lithuania,2000,214311
Lithuania,2005,201209
Lithuania,2010,160772
Lithuania,2015,136021
Lithuania,2020,145184
Lithuania,2024,175194
Low-income countries,1990,8730266
Low-income countries,1995,8238108
Low-income countries,2000,6838373
Low-income countries,2005,7050629
Low-income countries,2010,7985909
Low-income countries,2015,9509682
Low-income countries,2020,11661069
Low-income countries,2024,14383617
Lower-middle-income countries,1990,26329660
Lower-middle-income countries,1995,25004393
Lower-middle-income countries,2000,25173655
Lower-middle-income countries,2005,24485939
Lower-middle-income countries,2010,26806999
Lower-middle-income countries,2015,29214885
Lower-middle-income countries,2020,30422822
Lower-middle-income countries,2024,33300365
Luxembourg,1990,113795
Luxembourg,1995,126106
Luxembourg,2000,139750
